time(%Y-%m-%dT%H:%M:%S.%f),rel_time(sec),velocity(c/s)
2022-05-04T23:27:58.898000,1678.85,167065.921875
2022-05-04T23:28:00.398000,1680.35,217644.890625
2022-05-04T23:28:01.298000,1681.25,198679.875
2022-05-04T23:28:01.998000,1681.95,202792.859375
2022-05-04T23:28:02.248000,1682.2,203268.859375
2022-05-04T23:28:02.398000,1682.35,219101.859375
2022-05-04T23:28:02.748000,1682.7,228202.84375
2022-05-04T23:28:02.798000,1682.75,151637.84375
2022-05-04T23:28:03.148000,1683.1,163175.84375
2022-05-04T23:28:03.198000,1683.15,192334.84375
2022-05-04T23:28:03.448000,1683.4,149937.828125
2022-05-04T23:28:03.848000,1683.8,152957.828125
2022-05-04T23:28:04.698000,1684.65,355952.8125
2022-05-04T23:28:04.898000,1684.85,158910.796875
2022-05-04T23:28:05.198000,1685.15,150108.796875
2022-05-04T23:28:05.298000,1685.25,173273.796875
2022-05-04T23:28:05.598000,1685.55,275884.78125
2022-05-04T23:28:05.748000,1685.7,264160.78125
2022-05-04T23:28:06.848000,1686.8,159470.765625
2022-05-04T23:28:06.898000,1686.85,336871.75
2022-05-04T23:28:07.648000,1687.6,198276.75
2022-05-04T23:28:08.098000,1688.05,252632.734375
2022-05-04T23:28:08.498000,1688.45,147490.734375
2022-05-04T23:28:09.198000,1689.15,236578.71875
2022-05-04T23:28:09.548000,1689.5,213521.703125
2022-05-04T23:28:09.598000,1689.55,185784.703125
2022-05-04T23:28:09.948000,1689.9,243234.703125
2022-05-04T23:28:09.998000,1689.95,333226.6875
2022-05-04T23:28:10.448000,1690.4,198699.6875
2022-05-04T23:28:10.898000,1690.85,154964.671875
2022-05-04T23:28:10.948000,1690.9,154805.671875
2022-05-04T23:28:11.248000,1691.2,433363.6875
2022-05-04T23:28:11.298000,1691.25,159335.671875
2022-05-04T23:28:11.448000,1691.4,160578.671875
2022-05-04T23:28:11.498000,1691.45,144528.671875
2022-05-04T23:28:11.748000,1691.7,319234.65625
2022-05-04T23:28:11.798000,1691.75,173752.65625
2022-05-04T23:28:12.148000,1692.1,482172.65625
2022-05-04T23:28:12.198000,1692.15,252858.65625
2022-05-04T23:28:12.348000,1692.3,222075.65625
2022-05-04T23:28:12.598000,1692.55,162573.640625
2022-05-04T23:28:12.648000,1692.6,456622.65625
2022-05-04T23:28:12.698000,1692.65,249450.640625
2022-05-04T23:28:12.998000,1692.95,496842.625
2022-05-04T23:28:13.048000,1693.0,237094.640625
2022-05-04T23:28:13.498000,1693.45,197095.625
2022-05-04T23:28:13.648000,1693.6,146985.625
2022-05-04T23:28:13.798000,1693.75,169407.625
2022-05-04T23:28:13.948000,1693.9,176127.609375
2022-05-04T23:28:14.198000,1694.15,176012.609375
2022-05-04T23:28:14.498000,1694.45,166820.609375
2022-05-04T23:28:14.898000,1694.85,160856.59375
2022-05-04T23:28:15.248000,1695.2,145770.59375
2022-05-04T23:28:15.298000,1695.25,264846.59375
2022-05-04T23:28:15.498000,1695.45,178612.578125
2022-05-04T23:28:15.648000,1695.6,399920.59375
2022-05-04T23:28:15.798000,1695.75,333267.5625
2022-05-04T23:28:15.948000,1695.9,150962.578125
2022-05-04T23:28:15.998000,1695.95,146927.578125
2022-05-04T23:28:16.048000,1696.0,177808.578125
2022-05-04T23:28:16.448000,1696.4,272345.5625
2022-05-04T23:28:16.498000,1696.45,307774.5625
2022-05-04T23:28:16.548000,1696.5,295827.5625
2022-05-04T23:28:16.848000,1696.8,190928.5625
2022-05-04T23:28:16.998000,1696.95,185027.546875
2022-05-04T23:28:17.398000,1697.35,157265.546875
2022-05-04T23:28:17.648000,1697.6,175662.53125
2022-05-04T23:28:17.848000,1697.8,174279.53125
2022-05-04T23:28:18.648000,1698.6,359308.53125
2022-05-04T23:28:18.848000,1698.8,173750.515625
2022-05-04T23:28:19.048000,1699.0,195741.515625
2022-05-04T23:28:19.348000,1699.3,344421.5
2022-05-04T23:28:19.498000,1699.45,225532.5
2022-05-04T23:28:19.648000,1699.6,168537.5
2022-05-04T23:28:20.048000,1700.0,457038.5
2022-05-04T23:28:20.198000,1700.15,179010.484375
2022-05-04T23:28:20.548000,1700.5,352752.46875
2022-05-04T23:28:20.598000,1700.55,214221.484375
2022-05-04T23:28:20.698000,1700.65,240713.46875
2022-05-04T23:28:20.998000,1700.95,330422.46875
2022-05-04T23:28:21.048000,1701.0,251983.46875
2022-05-04T23:28:21.298000,1701.25,200311.46875
2022-05-04T23:28:21.348000,1701.3,321933.46875
2022-05-04T23:28:21.448000,1701.4,206541.453125
2022-05-04T23:28:21.648000,1701.6,173575.453125
2022-05-04T23:28:21.798000,1701.75,239535.453125
2022-05-04T23:28:21.848000,1701.8,169961.453125
2022-05-04T23:28:21.948000,1701.9,145312.453125
2022-05-04T23:28:22.248000,1702.2,347024.4375
2022-05-04T23:28:22.298000,1702.25,504475.4375
2022-05-04T23:28:22.698000,1702.65,322438.4375
2022-05-04T23:28:22.748000,1702.7,158453.4375
2022-05-04T23:28:22.848000,1702.8,175792.4375
2022-05-04T23:28:23.098000,1703.05,151850.421875
2022-05-04T23:28:23.148000,1703.1,355892.4375
2022-05-04T23:28:23.198000,1703.15,155799.421875
2022-05-04T23:28:23.398000,1703.35,231581.421875
2022-05-04T23:28:23.548000,1703.5,181174.421875
2022-05-04T23:28:23.598000,1703.55,182335.421875
2022-05-04T23:28:23.948000,1703.9,214043.40625
2022-05-04T23:28:24.448000,1704.4,556481.4375
2022-05-04T23:28:24.548000,1704.5,217374.390625
2022-05-04T23:28:24.598000,1704.55,355973.40625
2022-05-04T23:28:25.298000,1705.25,349218.375
2022-05-04T23:28:25.348000,1705.3,459784.375
2022-05-04T23:28:25.698000,1705.65,226792.375
2022-05-04T23:28:25.748000,1705.7,432573.375
2022-05-04T23:28:26.098000,1706.05,439432.375
2022-05-04T23:28:26.248000,1706.2,202401.359375
2022-05-04T23:28:26.548000,1706.5,211990.359375
2022-05-04T23:28:26.598000,1706.55,341083.34375
2022-05-04T23:28:26.948000,1706.9,270251.34375
2022-05-04T23:28:27.098000,1707.05,202725.34375
2022-05-04T23:28:27.298000,1707.25,223812.34375
2022-05-04T23:28:27.398000,1707.35,297601.34375
2022-05-04T23:28:27.448000,1707.4,147008.328125
2022-05-04T23:28:27.698000,1707.65,339377.34375
2022-05-04T23:28:27.748000,1707.7,152948.328125
2022-05-04T23:28:27.848000,1707.8,198406.328125
2022-05-04T23:28:28.048000,1708.0,327144.3125
2022-05-04T23:28:28.198000,1708.15,282068.3125
2022-05-04T23:28:28.348000,1708.3,162218.3125
2022-05-04T23:28:28.698000,1708.65,206608.3125
2022-05-04T23:28:28.748000,1708.7,238879.3125
2022-05-04T23:28:28.898000,1708.85,338524.3125
2022-05-04T23:28:29.098000,1709.05,174049.296875
2022-05-04T23:28:29.148000,1709.1,184053.296875
2022-05-04T23:28:29.548000,1709.5,343145.28125
2022-05-04T23:28:29.598000,1709.55,145881.296875
2022-05-04T23:28:29.748000,1709.7,222763.28125
2022-05-04T23:28:29.998000,1709.95,310865.28125
2022-05-04T23:28:30.048000,1710.0,194097.28125
2022-05-04T23:28:30.148000,1710.1,211145.28125
